,sentence,author
4301,Nobody takes you seriously.,Doyle
4302,"“I arrest you on the charge of the murder of one Victor Savage,” he concluded.",Doyle
4303,"I have made inquiry all over the hotel, but I can hear no word of it.""",Doyle
4304,"“‘Why, what on earth does this mean, John?’ he stammered.",Doyle
4305,"""How do you know of him then?""",Doyle
4306,"“Well, now, let us put ourselves in the place of Jonathan Small.",Doyle
4307,"“You say that three people came out from the flat while you were waiting downstairs,” said he at last.",Doyle
4308,"“You are of age,” he said, “and there is no law to stop you.",Doyle
4309,"Holmes’s face showed his amazement, and also his relief.",Doyle
4310,"There is a trap-door at the back of that building, near the corner of Paul’s Wharf, which could tell some strange tales of what has passed through it upon the moonless nights.”",Doyle
4311,Suddenly he darted away into the fog.”,Doyle
4312,Was it not possible that his nimble and speculative mind had built up this wild theory upon faulty premises?,Doyle
4313,"There was a hansom just in front of me, and he hailed it.",Doyle
4314,"Meanwhile, the funeral may proceed, and the poor old woman who still lies in that coffin may go to her last resting-place alone.”",Doyle
4315,To act the spy upon a friend was a hateful task.,Doyle
4316,"“They are typewritten,” I remarked.",Doyle
4317,“What ineffable twaddle!”,Doyle
4318,"It must have been a young man, and an active one, too, besides being an incomparable actor.",Doyle
4319,"“I am Miss Morstan, and these two gentlemen are my friends,” said she.",Doyle
4320,"""Yes, it is an interesting instance of a throwback, which appears to be both physical and spiritual.",Doyle
4321,“Turn up the gas?,Doyle
4322,"“I have been a governess for five years,” said she, “in the family of Colonel Spence Munro, but two months ago the colonel received an appointment at Halifax, in Nova Scotia, and took his children over to America with him, so that I found myself without a situation.",Doyle
4323,"They stood with their heads close together, talking in low, confidential tones.",Doyle
4324,"Then the door crashed to, the key turned once more, and all was silence.",Doyle
4325,He was dead within five minutes.,Doyle
4326,The second and third had been patiently occupied upon a subject which he had recently made his hobby—the music of the Middle Ages.,Doyle
4327,"Sufficient for to-morrow is the evil thereof; but I hope before the day is past to have the upper hand at last.""",Doyle
4328,"If it concerned no one but myself I would not try to keep it from you.""",Doyle
4329,"“I would not tell them too much,” said Holmes.",Doyle
4330,For two nights I kept the watch with my Punjaubees.,Doyle
4331,"Sherlock Holmes’ earnest demeanour had so far convinced us that we all sat in silence, watching the animal intently, and expecting some startling effect.",Doyle
4332,"Now, these are a really very fine series of portraits.""",Doyle
4333,"""Very hard.",Doyle
4334,"“‘_L’homme c’est rien—l’œuvre c’est tout_,’ as Gustave Flaubert wrote to George Sand.”",Doyle
4335,The oval seal is undoubtedly a plain sleeve-link—what else is of such a shape?,Doyle
4336,"In this particular corner of the room a large piece had peeled off, leaving a yellow square of coarse plastering.",Doyle
4337,"""No, but you evidently think it.""",Doyle
4338,In two months you shall see me.”,Doyle
4339,"Amid the action and reaction of so dense a swarm of humanity, every possible combination of events may be expected to take place, and many a little problem will be presented which may be striking and bizarre without being criminal.",Doyle
4340,"Well, a cheetah is just a big cat, and yet a saucer of milk does not go very far in satisfying its wants, I daresay.",Doyle
4341,"Thank you, I need no help in arranging the clothes.",Doyle
4342,Young Stamford looked rather strangely at me over his wine-glass.,Doyle
4343,“Window is snibbed on the inner side.,Doyle
4344,All was as we had seen it in the daytime.,Doyle
4345,"I have made my case out, and it seems I was wrong.",Doyle
4346,"Every word I say is the absolute truth, and how you use it is a matter of no consequence to me.”",Doyle
4347,But here she comes in person to resolve our doubts.”,Doyle
4348,“Had he a whip in his hand?”,Doyle
4349,“And you were surprised to see him in Swandam Lane?”,Doyle
4350,"On these his eager, questioning eyes were fixed, and I saw on his keen, alert face that tightening of the lips, that quiver of the nostrils, and concentration of the heavy, tufted brows which I knew so well.",Doyle
4351,"“In some way we struck up quite a friendship, this young fellow and I. He seemed to take a fancy to me from the first, and within two days of our meeting he came to see me at Lee.",Doyle
4352,"The man who entered was young, some two-and-twenty at the outside, well-groomed and trimly clad, with something of refinement and delicacy in his bearing.",Doyle
4353,This is quite natural.,Doyle
4354,“Fortune was very good to us at first.,Doyle
4355,"“There’s an east wind coming, Watson.”",Doyle
4356,"If my view of the case is correct, and I have every reason to believe that it is, this man would rather risk anything than lose the ring.",Doyle
4357,"“Why,” said I, glancing up at my companion, “that was surely the bell.",Doyle
4358,But no slightest sign of them ever met our eyes.,Doyle
4359,"Look at Mr. Stapleton's house, for example, with no one but himself to defend it.",Doyle
4360,"“Yes, there are steps on the landing.",Doyle
4361,"A minute later we were both in a hansom, driving furiously for the Brixton Road.",Doyle
4362,In the silence of the room I could hear a dull humming and buzzing noise which proceeded from the same source.,Doyle
4363,"By the way, a curious paper was found in papa’s desk which no one could understand.",Doyle
4364,"“Remarkable, is it not?",Doyle
4365,“And how did you find out?”,Doyle
4366,“It was I who opened it.”,Doyle
4367,"Besides, it was my life or his when once he was in the fort.",Doyle
4368,But who are the others?,Doyle
4369,“He came again and again.,Doyle
4370,I may call myself a patron of the arts.,Doyle
4371,“James was a bonehead—I give you that.,Doyle
4372,"As I descended, my old ally, the guard, came out of the room and closed the door tightly behind him.",Doyle
4373,Have I not——?”,Doyle
4374,"At Camberwell I found Miss Morstan a little weary after her night’s adventures, but very eager to hear the news.",Doyle
4375,"He has been a disappointment to me, Mr. Holmes—a grievous disappointment.",Doyle
4376,There will be some fun over this case if they are both put upon the scent.”,Doyle
4377,"The only bar to our escape is that we can get no boat fit for the voyage, and no provisions to last us for so long a time.",Doyle
4378,“Do you receive much company?” he asked.,Doyle
4379,Her attack and her bowing are splendid.,Doyle
4380,"“They used to send father tickets when he was alive, and then afterwards they remembered us, and sent them to mother.",Doyle
4381,"I ventured to say something to him about cooling medicine, but he turned on me, sir, with such a look that I don’t know how ever I got out of the room.”",Doyle
4382,If you want to hear my story I have no wish to hold it back.,Doyle
4383,"I saw her start, and she hastily closed the door.",Doyle
4384,"During the first week or so we had no callers, and I had begun to think that my companion was as friendless a man as I was myself.",Doyle
4385,"“A sergeant, sir, Royal Marine Light Infantry, sir.",Doyle
4386,"He had been a pioneer in California, and could narrate many a strange tale of fortunes made and fortunes lost in those wild, halcyon days.",Doyle
4387,"He has an impression that the man was tall, had a reddish face, and was dressed in a long, brownish coat.",Doyle
4388,"They landed me at Vauxhall, with my heavy iron box, and with a bluff, genial inspector as my companion.",Doyle
4389,"“Why, it is just such a chance as you have been longing for.”",Doyle
4390,"Well, good-bye,"" he added as the train began to glide down the platform.",Doyle
4391,He chewed Downing’s thumb nearly off before they could master him.,Doyle
4392,"You have received your rent, and he is not a troublesome lodger, though he is certainly an unusual one.",Doyle
4393,"“I have been turning it over in my mind, and I can see only one way out of it.",Doyle
4394,"“The younger brother of the late Sir James Walter, the head of the Submarine Department.",Doyle
4395,But you have had enough of the case.,Doyle
4396,I shall go mad if it continues.,Doyle
4397,"If, on the other hand, I am to do it in the name of the firm, then in justice to my partner I must insist that, even in your case, every businesslike precaution should be taken.’",Doyle
4398,"Some of the blows of my cane came home and roused its snakish temper, so that it flew upon the first person it saw.",Doyle
4399,We had a small scene this morning after breakfast.,Doyle
4400,"I had noticed for some time that when Gorgiano came to us, as he constantly did, in the evening, he spoke much to me; and even when his words were to my husband those terrible, glaring, wild-beast eyes of his were always turned upon me.",Doyle
4401,"""And so was I at first.",Doyle
4402,Young speedily proved himself to be a skilful administrator as well as a resolute chief.,Doyle
4403,"""I've been over a good part of the world since I left it, Dr. Watson,"" said he;",Doyle
4404,"Watson, I fear that you will find it very slow, but I shall only be away a couple of hours.”",Doyle
4405,What my next step may be will depend entirely upon the nature of your own defence.”,Doyle
4406,"It is a point which is continually turning up in criminal trials, and which is sometimes of supreme importance as a clue.",Doyle
4407,"“By the way, what do you give him?”",Doyle
4408,He indicated a heavily sealed dust-covered bottle which stood with two high glasses upon a salver.,Doyle
4409,"The window of my father’s room was found open in the morning, his cupboards and boxes had been rifled, and upon his chest was fixed a torn piece of paper, with the words ‘The sign of the four’ scrawled across it.",Doyle
4410,I asked.,Doyle
4411,"“If I claim full justice for my art, it is because it is an impersonal thing—a thing beyond myself.",Doyle
4412,"At first he was very eager to come, but on second thoughts it seemed to both of us that if I went alone the results might be better.",Doyle
4413,“The mere sight of an official-looking person seals men’s lips.,Doyle
4414,“The question for us now to solve is the sequence of events leading from a rifled jewel-case at one end to the crop of a goose in Tottenham Court Road at the other.,Doyle
4415,"""Yes.""",Doyle
4416,Who could come to-night?,Doyle
4417,"This villain’s policy was to murder, on one pretext or another, every man who showed such promise that he might in time come to be a dangerous rival.",Doyle
4418,"I rose to go, but Holmes caught me by the wrist and pushed me back into my chair.",Doyle
4419,"“A cipher message, Holmes.”",Doyle
4420,“For years I have loved her.,Doyle
4421,"He is not a very quick-witted youth, though comely to look at and, I should think, sound at heart.”",Doyle
4422,I should not ask it of you if I did not think you a quite exceptional woman.”,Doyle
4423,Broad bars of golden light from the lower windows stretched across the orchard and the moor.,Doyle
4424,"There was no change in door or window this morning, or any reason to think that any stranger had been to the house.",Doyle
4425,"Your marriage, you say?""",Doyle
4426,It was a strange sight had there been anything but the buzzards to see it.,Doyle
4427,"I think that I have seen all that I wish in this house, and that my time may be more profitably employed elsewhere.",Doyle
4428,"“I hate to have my things touched, Watson.",Doyle
4429,"""And you said nothing?""",Doyle
4430,Whom have I the honour to address?”,Doyle
4431,"Hitherto his orgies had always been confined to one day, and he had come back, twitching and shattered, in the evening.",Doyle
4432,There is the point which we still have to decide.,Doyle
4433,I leave them all the evidence which I found.,Doyle
4434,I had it from the stevedore who has been loading their cargo.,Doyle
4435,"""It is evidently a case of extraordinary interest, and one which presented immense opportunities to the scientific expert.",Doyle
4436,"And yet it cannot be denied that the prosperity of the whole poor, bleak country-side depends upon his presence.",Doyle
4437,OCTOBER 16TH.--A dull and foggy day with a drizzle of rain.,Doyle
4438,“Will you see him?”,Doyle
4439,"I have told you that the corridor is broken by the balcony which runs round the hall, but that it is resumed upon the farther side.",Doyle
4440,"The wheels died away down the drive while Sir Henry and I turned into the hall, and the door clanged heavily behind us.",Doyle
4441,"“Here is Lestrade with his warrant,” said he.",Doyle
4442,"‘For the love of Heaven!’ she whispered, ‘get away from here before it is too late!’",Doyle
4443,"When she had vanished from his sight, he realized that a crisis had come in his life, and that neither silver speculations nor any other questions could ever be of such importance to him as this new and all-absorbing one.",Doyle
4444,I put them there myself.”,Doyle
4445,"Supposing I unravel the whole matter, you may be sure that Gregson, Lestrade, and Co. will pocket all the credit.",Doyle
4446,The police have openly confessed that they can at present make nothing of it.,Doyle
4447,Here we are.,Doyle
4448,"“The game’s up, Ryder,” said Holmes quietly.",Doyle
4449,"“Then West, if he is the culprit, must have had a duplicate.",Doyle
4450,This to a stoat which thrust its wicked head and red eyes between the bars of its cage.,Doyle
4451,"""I can swear to one thing, and that is that we have not been shadowed during the last two days.",Doyle
4452,"Small had dropped his mask of stoicism, and all this came out in a wild whirl of words, while his eyes blazed, and the handcuffs clanked together with the impassioned movement of his hands.",Doyle
4453,"“‘Well, well, you must not do anything rash, or that you might repent.",Doyle
4454,No?,Doyle
4455,I ejaculated.,Doyle
4456,"We knew him well, and miss him more than I can tell.",Doyle
4457,"""I have not heard of any.""",Doyle
4458,My brother and I naturally associated this peculiar incident with the fear which haunted my father during his life; but it is still a complete mystery to us.”,Doyle
4459,"“I have no time for trifles,” he answered, brusquely; then with a smile, “Excuse my rudeness.",Doyle
4460,With a grave face he lit the lamp and led the way down the corridor.,Doyle
4461,I _knew_ you came from Afghanistan.,Doyle
4462,"The sewing-machine, of the hand type, leaves a similar mark, but only on the left arm, and on the side of it farthest from the thumb, instead of being right across the broadest part, as this was.",Doyle
4463,"“Your Majesty had not spoken before I was aware that I was addressing Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia.”",Doyle
4464,"This morning, being an early riser, he walked in that direction before breakfast and was overtaken by the carriage of Dr. Richards, who explained that he had just been sent for on a most urgent call to Tredannick Wartha.",Doyle
4465,"That was why I put them out.""",Doyle
4466,You have made your statement very clearly.,Doyle
4467,"I flatter myself that I can distinguish at a glance the ash of any known brand, either of cigar or of tobacco.",Doyle
4468,“Simple!”,Doyle
4469,What do you mean?”,Doyle
4470,The youth pondered for a moment.,Doyle
4471,Here are your wages.”,Doyle
4472,"“Well, really, I came to seek a theory, not to propound one.",Doyle
4473,He said that he had never heard of any such body.,Doyle
4474,Shortly after our return to England my mother died—she was killed eight years ago in a railway accident near Crewe.,Doyle
4475,"But to my astonishment, when I came to look round me, neither house nor garden were to be seen.",Doyle
4476,"""I guess it is ourselves and not the house that we have to blame!"" said the baronet.",Doyle
4477,"Now, Watson, let us sit down and await developments.”",Doyle
4478,"As I drove, I could see old John Ferrier and sweet Lucy looking at me out of the darkness and smiling at me, just as plain as I see you all in this room.",Doyle
4479,I don’t know him.,Doyle
4480,"A man entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a Hercules.",Doyle
4481,“It would take considerable technical knowledge to copy the plans in an effective way.”,Doyle
4482,The other closed the door.,Doyle
4483,"""You have arms, I suppose?""",Doyle
4484,"""No;",Doyle
4485,"Her bed this morning had not been slept in, her room was empty, and a note for me lay upon the hall table.",Doyle
4486,"No, no, we will preserve them upon our list of suspects.",Doyle
4487,Once on the road we are only two miles from the Ravine where the horses are waiting.,Doyle
4488,"“We have his cab,” said Sherlock Holmes.",Doyle
4489,All was going well when McCarthy laid his grip upon me.,Doyle
4490,"I came to you, Mr. Holmes, because I recognized that I am myself an unpractical man and because I am suddenly confronted with a most serious and extraordinary problem.",Doyle
4491,"“I want to test a little theory of mine,” said he, pulling on his boots.",Doyle
4492,"He has a passion also for Indian animals, which are sent over to him by a correspondent, and he has at this moment a cheetah and a baboon, which wander freely over his grounds and are feared by the villagers almost as much as their master.",Doyle
4493,Did anything come by post?”,Doyle
4494,“What the deuce is the matter with the dog?” growled Holmes.,Doyle
4495,“When Mrs. Turner has brought in the tray I will make it clear to you.,Doyle
4496,There is no middle way.,Doyle
4497,Before breakfast on the morning following my adventure I went down the corridor and examined the room in which Barrymore had been on the night before.,Doyle
4498,What do you think of that?,Doyle
4499,"When he came to the highroad at the other end, I found that the pavement had been cleared, so there was an end to that clue.",Doyle
4500,The man drew out paper and tobacco and twirled the one up in the other with surprising dexterity.,Doyle
4501,“‘Where have you put it?’ asked Arthur.,Doyle
4502,What else?”,Doyle
4503,"Several rolls of paper were within, covered with figures and calculations, without any note to show to what they referred.",Doyle
4504,“You did excellently well.,Doyle
4505,We have learned the truth in sorrow and in suffering.,Doyle
4506,"Cheer up, Watson, for I am very sure that our material has not yet all come to hand.",Doyle
4507,"Ah, Watson, you have just come at the right time.",Doyle
4508,"Toller, for that is his name, is a rough, uncouth man, with grizzled hair and whiskers, and a perpetual smell of drink.",Doyle
4509,"Fresh women appeared in the harems of the Elders—women who pined and wept, and bore upon their faces the traces of an unextinguishable horror.",Doyle
4510,The King stared at him in amazement.,Doyle
4511,"For a moment or two I sat breathless, hardly able to believe my ears.",Doyle
4512,“Or had escaped.,Doyle
4513,And yet even here we may discriminate.,Doyle
4514,All these things have by one night's work been thoroughly cleared.,Doyle
4515,"I dare say it was by some such device that poor Savage, who stood between this monster and a reversion, was done to death.",Doyle
4516,I should say almost unique.”,Doyle
4517,"There you must stay, or you lose your billet.’",Doyle
4518,"They all agreed that it was a huge creature, luminous, ghastly, and spectral.",Doyle
4519,I shut the hall door behind me.,Doyle
4520,"“Pray compose yourself, sir,” said Holmes, “and let me have a clear account of who you are and what it is that has befallen you.”",Doyle
4521,"And now, Watson, we shall order breakfast, and afterwards I shall walk down to Doctors’ Commons, where I hope to get some data which may help us in this matter.”",Doyle
4522,"There was no key, but it was of considerable weight, so we transferred it carefully to our own little cabin.",Doyle
4523,I am close on the track of the Sholto gang.,Doyle
4524,"Where is Barrymore?""",Doyle
4525,"Ah, naughty, naughty, would you take a nip at the gentleman?”",Doyle
4526,"What amuses me is to think of Lestrade, who had started off upon the wrong scent.",Doyle
4527,"He was thin and worn, but clear and alert, his keen face bronzed by the sun and roughened by the wind.",Doyle
4528,"Holmes whispered; and I knew from the thrill of his voice that he, the man of iron, was shaken to the soul.",Doyle
4529,"The vast size of the building, with its gloom and its deathly silence, struck a chill to the heart.",Doyle
4530,“None.”,Doyle
4531,But others were late as well as we.,Doyle
4532,What a tissue of mysteries and improbabilities the whole thing was!,Doyle
4533,"Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance.",Doyle
4534,"“Now, Mr. Holmes, you know the people who live under my roof, and I shall continue with my miserable story.",Doyle
4535,‘We only ask you to do that which your countrymen come to this land for.,Doyle
4536,"The former had flushed up to the roots of his flaxen hair, while the other’s beady eyes glistened with curiosity and resentment.",Doyle
4537,"This is a man that would stick at nothing.""",Doyle
4538,"“Major Sholto was a very particular friend of papa’s,” she said.",Doyle
4539,"“Where did you address your letters, then?”",Doyle
4540,"There is a three-foot flower-border outside this window, but no indication of a footmark.",Doyle
4541,"""I was a boy in my 'teens at the time of my father's death, and had never seen the Hall, for he lived in a little cottage on the South Coast.",Doyle
4542,Sometimes he will shut up a right of way and defy the parish to make him open it.,Doyle
4543,“Have you sent to Cleveland?”,Doyle
4544,This lair of his would be too valuable a retreat in case of need for him to give it up until he was sure that he could do without it.,Doyle
4545,"Then I called at the offices round, but none of them seemed to know anything about it.",Doyle
4546,I have never denied him a wish.,Doyle
4547,"Then she walked back into the house, the happiest girl in all Utah.",Doyle
4548,“The King of Scandinavia.”,Doyle
4549,"Round his brow he had a peculiar yellow band, with brownish speckles, which seemed to be bound tightly round his head.",Doyle
4550,"“But I am somewhat headstrong by nature, and the more ready to engage in an affair when there is some obstacle in the way.",Doyle
4551,"“You have been in Afghanistan, I perceive.”",Doyle
4552,"To take the first example to hand, I very clearly perceive that in your bedroom the window is upon the right-hand side, and yet I question whether Mr. Lestrade would have noted even so self-evident a thing as that.”",Doyle
4553,"“To whom, and where?”",Doyle
4554,"He was very much closer to the pair than I was, and he appeared to be moving in their direction.",Doyle
4555,Then I could produce your confession at the last extremity to save young McCarthy.,Doyle
4556,"“‘Oh, at his new offices.",Doyle
4557,“I don’t understand that.,Doyle
4558,"The man who had addressed us mounted to the box, while we took our places inside.",Doyle
4559,"My friend was an enthusiastic musician, being himself not only a very capable performer but a composer of no ordinary merit.",Doyle
4560,"He is a professional brother of yours, and your presence may be of assistance to me.",Doyle
4561,When I was a youngster I have opened it myself with the key of the box-room cupboard.’,Doyle
4562,"I have no doubt that she has only been to the side gate to see someone, but I think that it is hardly safe and should be stopped.’",Doyle
4563,"Now, what do you think would happen if I did break it, Mr. Holder?",Doyle
4564,"When she is released she will, of course, denounce them.",Doyle
4565,"“You will give us time,” he said at last.",Doyle
4566,"I have grave doubts as to my mitral valve, if you would be so very good.",Doyle
4567,It was with a sinking heart that I reentered Holmes’s bedroom.,Doyle
4568,"Now,” he said as he turned hungrily on the simple fare that our landlady had provided, “I must discuss it while I eat, for I have not much time.",Doyle
4569,“When we goes back to home I’ll give them to brother Bob.”,Doyle
4570,We had not long to wait.,Doyle
4571,“I seem to have no choice.”,Doyle
4572,"Very good, sir, I will take up your card.”",Doyle
4573,"Simon,” said he “allow me to introduce you to Mr. and Mrs. Francis Hay Moulton.",Doyle
4574,"“But tell me, Baynes, who is this man Henderson?”",Doyle
4575,"It is headed, ‘Singular Occurrence at a Fashionable Wedding’:  “‘The family of Lord Robert St.",Doyle
4576,You can leave your bag.”,Doyle
4577,"""But for God's sake do what I ask you.",Doyle
4578,"""Thank God, I think that I hear him coming.""",Doyle
4579,I’ll serve you!”,Doyle
4580,"It seldom was; but he was glad, I think, to see me.",Doyle
4581,"His costume was a peculiar mixture of the professional and of the agricultural, having a black top-hat, a long frock-coat, and a pair of high gaiters, with a hunting-crop swinging in his hand.",Doyle
4582,"Scarcely had she got fairly into it, however, before the beasts closed in behind her, and she found herself completely imbedded in the moving stream of fierce-eyed, long-horned bullocks.",Doyle
4583,"“‘That would suit me very well,’ said I. ‘And the pay?’",Doyle
4584,"“Bless you, sir, we know you very well,” said the sergeant, “but you can’t stay here without a warrant.”",Doyle
4585,"“I have heard of you, Mr. Holmes.",Doyle
4586,“But does this mean that any harm has befallen the Lady Frances?”,Doyle
4587,From that appointment he never came back alive.,Doyle
4588,Let me explain.,Doyle
4589,"And yet she had some secret sorrow, this woman.",Doyle
4590,"There was an old manservant at Merripit House, whose name was Anthony.",Doyle
4591,“This statement came from Mrs. Charpentier’s lips with many gasps and pauses.,Doyle
4592,"“And two knight-errants to the rescue,” added Miss Morstan, with a bright glance at me.",Doyle
4593,“No; but I am acting for him.,Doyle
4594,"The printed messages, as is now evident, were to prevent her sex being discovered by her writing.",Doyle
4595,"“‘What, you dig fuller’s-earth in the house?’",Doyle
4596,"He was bemoaning himself this morning because he could not get someone to go halves with him in some nice rooms which he had found, and which were too much for his purse.”",Doyle
4597,"As it drove by us I caught a glimpse through the closed window of a horribly contorted, grinning face glaring out at us.",Doyle
4598,I saw him stoop and strain until with a sharp crash it flew open.,Doyle
4599,"Go where they would about London, I was always at their heels.",Doyle
4600,"To me, who knew his every mood and habit, his attitude and manner told their own story.",Doyle
4601,I heard no more.,Doyle
4602,"There are several other indications, but these may be enough to aid us in our search.”",Doyle
4603,"The door of Briony Lodge was open, and an elderly woman stood upon the steps.",Doyle
4604,“And the papers?” asked the King hoarsely.,Doyle
4605,"“Come with me, and we will see what is to be made of this fellow.”",Doyle
4606,"""On the contrary, I think we are particularly hot upon the trail, Sir Henry.",Doyle
4607,The doctor was our next goal.,Doyle
4608,“I assure you that I am in your hands.”,Doyle
4609,"“I think you will find,” said Sherlock Holmes, “that you will play for a higher stake to-night than you have ever done yet, and that the play will be more exciting.",Doyle
4610,"“‘Your protection, Sahib,’ he panted,—‘your protection for the unhappy merchant Achmet.",Doyle
4611,"We were a family of tin-miners at Redruth, but we sold our venture to a company, and so retired with enough to keep us.",Doyle
4612,Particular man in his stationery.,Doyle
4613,"As its soft rhythm died away, Holmes set to work upon the lower door.",Doyle
4614,“‘High red house with white stone facings.,Doyle
4615,"The more usual victims are a white cock, which is plucked in pieces alive, or a black goat, whose throat is cut and body burned.’",Doyle
4616,Holmes sat for some little time in silence.,Doyle
4617,"He shot a questioning glance at each of us, placed his shiny top-hat upon the sideboard, and with a slight bow sidled down into the nearest chair.",Doyle
4618,"As you saw, I discovered a thorn which had been driven or shot with no great force into the scalp.",Doyle
4619,"We Elders have many heifers,[1] but our children must also be provided.",Doyle
4620,"If we are pretty quick in catching our men, we are not so quick in condemning them.”",Doyle
4621,"That is where the rare plants and the butterflies are, if you have the wit to reach them.""",Doyle
4622,“All would now have been well for them had it not been for my knowledge of what they had done.,Doyle
4623,"“Lady Frances,” he continued, “is the sole survivor of the direct family of the late Earl of Rufton.",Doyle
4624,It was dated from Poplar at twelve o’clock.,Doyle
4625,"""But what you are really looking for is the centre page of the Times with some holes cut in it with scissors.",Doyle
4626,"“I reached this one,” said my friend, “by sitting upon five pillows and consuming an ounce of shag.",Doyle
4627,"But you have one quality which is very rare in a German, Mr. Von Bork: you are a sportsman and you will bear me no ill-will when you realise that you, who have outwitted so many other people, have at last been outwitted yourself.",Doyle
4628,"In the centre of this room there was an upright beam, which had been placed at some period as a support for the old worm-eaten baulk of timber which spanned the roof.",Doyle
4629,“Shall I tell Brother Drebber?”,Doyle
4630,"Has it never struck you that the way to catch that man was to find out where he got his food, and so trace it to him?""",Doyle
4631,He swung himself up onto the roof.,Doyle
4632,My friend bowed his compliments.,Doyle
4633,“Is there no watchman to the building?”,Doyle
4634,I got so close to them in the bustle that I could hear every word that passed between them.,Doyle
4635,Nor is Nature always in one mood throughout this grim district.,Doyle
4636,"He married Beryl Garcia, one of the beauties of Costa Rica, and, having purloined a considerable sum of public money, he changed his name to Vandeleur and fled to England, where he established a school in the east of Yorkshire.",Doyle
4637,Down the Strand the lamps were but misty splotches of diffused light which threw a feeble circular glimmer upon the slimy pavement.,Doyle
4638,"The man is a striking-looking fellow, very well equipped to steal the heart of a country girl, so that this theory seemed to have something to support it.",Doyle
4639,"If she were ill-used, then at any risks I was determined to go back to her assistance.",Doyle
4640,"""I would ask you one more question, Miss Stapleton.",Doyle
4641,No more than you have.,Doyle
4642,"This fellow is a perfect savage, as strong as a cart-horse and as fierce as the devil.",Doyle
4643,Perhaps in my next I may be able to throw some light upon this also.,Doyle
4644,"That which was in gold and silver he kept by him in the vaults of his palace, but the most precious stones and the choicest pearls that he had he put in an iron box, and sent it by a trusty servant who, under the guise of a merchant, should take it to the fort at Agra, there to lie until the land is at peace.",Doyle
4645,"“Well, I have been obliged to reconsider it.",Doyle
4646,"How do you explain it, and ain’t you ashamed to see your men go down like this?”",Doyle
4647,"“She might almost personify Britannia,” said he, “with her complete self-absorption and general air of comfortable somnolence.",Doyle
4648,"“It ain’t night yet,” she answered.",Doyle
4649,“I was furious.,Doyle
4650,My mind is gone.,Doyle
4651,"There are only two, a man and his wife.",Doyle
4652,"As he spoke he picked up the steel poker and, with a sudden effort, straightened it out again.",Doyle
4653,"What does the law of England care for the rivers of blood shed years ago in San Pedro, or for the shipload of treasure which this man has stolen?",Doyle
4654,We stagnate in the provinces.,Doyle
4655,Admirable!,Doyle
4656,He claims that the power of producing and appreciating it existed among the human race long before the power of speech was arrived at.,Doyle
4657,"There he intervened, and then it was, Colonel Walter, that to treason you added the more terrible crime of murder.”",Doyle
4658,"“My brother and I,” said he, “were, as you may imagine, much excited as to the treasure which my father had spoken of.",Doyle
4659,We have delayed long enough.,Doyle
4660,"He hardly speaks a word of English, and we can get nothing out of him but grunts.”",Doyle
4661,"“How is it now?” he answered anxiously, for she was still rubbing the towsy golden curls which covered the back of her head.",Doyle
4662,"Please forget the words I said, which have no application whatever to you.""",Doyle
4663,What is the chief difference?”,Doyle
4664,We have him!” he cried.,Doyle
4665,Are you sure that everything is fastened?’,Doyle
4666,"I hopped off before we came to the door, and strolled down the street in an easy, lounging way.",Doyle
4667,"Barrymore's only indication had been that the stranger lived in one of these abandoned huts, and many hundreds of them are scattered throughout the length and breadth of the moor.",Doyle
4668,"“I shall glance into the case for you,” said Holmes, rising, “and I have no doubt that we shall reach some definite result.",Doyle
4669,"“If you won’t tell us the bet is off, that is all.",Doyle
4670,"I must, of course, claim the protection of the embassy for the others.”",Doyle
4671,It seems rather sad that his relatives should allow him to come out alone.”,Doyle
4672,"I was holding a candle to the window.""",Doyle
4673,Sherlock Holmes leaned back in his chair and laughed heartily.,Doyle
4674,Come in!”,Doyle
4675,“His face—his dress—didn’t you notice them?”,Doyle
4676,A minute later we were in the street once more.,Doyle
4677,“It is not an English paper at all.,Doyle
4678,He had risen from his chair and was standing between the parted blinds gazing down into the dull neutral-tinted London street.,Doyle
4679,I think that it is quite clear that there must be more than one of them.,Doyle
4680,"""I think,"" said I, following as far as I could the methods of my companion, ""that Dr. Mortimer is a successful, elderly medical man, well-esteemed since those who know him give him this mark of their appreciation.""",Doyle
4681,"She passed down the stairs, and he, thrilling with horror, ran along and slipped behind the curtain near your door, whence he could see what passed in the hall beneath.",Doyle
4682,The look of anger passed in an instant from his face.,Doyle
4683,"I understand that you have already managed several delicate cases of this sort, sir, though I presume that they were hardly from the same class of society.”",Doyle
4684,“My dear fellow!”,Doyle
4685,"You and I know that he died of sheer fright, and we know also what frightened him; but how are we to get twelve stolid jurymen to know it?",Doyle
4686,“Indeed!,Doyle
4687,"In his singular character the dual nature alternately asserted itself, and his extreme exactness and astuteness represented, as I have often thought, the reaction against the poetic and contemplative mood which occasionally predominated in him.",Doyle
4688,That last warning cry had been suddenly cut short.,Doyle
4689,The woman was excusing herself.,Doyle
4690,I don’t know if any of you gentlemen have ever read or heard anything of that old fort.,Doyle
4691,He shall find me ready when he comes back.”,Doyle
4692,"If the young lady has a brother or a friend, he ought to lay a whip across your shoulders.",Doyle
