,sentence,gender
2896,"And yet, what hart and contentacion the shew of hir majesti's favor to these countreys has bredd do appeare by the king of denmark's and other princ's furtheranse hereof.",m
2897,"And, no doubtes, yf hir majesty wyll goe to the chardge but for ij yeres, she may as assuredly stablysh these countreys as she will please, as yf ther  no inymye able to gaynsay yt.",m
2898,"Now, whether you ther conceave styll as you have done, that these countreys be of consequense for hir majesti's safty and servyce, to be kept at hir devotyon, i must leave to yourselves; but yf you be, than do now your opportunytye well serve you, both to move hir majestye and to ease hir own charg's.",m
2899,"Yf that opinione be changed, then ether must you intertein them with hope, tyll you can know whether denmark wyll deal or no, or to make a good peace or a bad peace for hir and them.",m
2900,"And, albeyt i wyll never councell that way which may bring but a present shew of peace for a tyme than a perfect peace in dede, yet yf others will think and perswade that way as a necessarye way, than i say, i think hir majesty may have what peace she will at the king of spains hand's nowe.",m
2901,"For the prinse ys at his wytt's ind at thys time, and a sounde and princely preparacion made for hym this wynter wold breake his backe the next yere, using such other mean's as hir majesty may with the king of denmarke and the princ's of germany, with whome she may have the greatest reputacion of any prinse in the world.",m
2902,"These thing's i must leave, as he that must be dyrected; and yf hir majesty doe procede with these men in the cause, you must ned's than have another manner of comission than was last, and otherwyse delt withall, both for hir majesti's assuranse here and a more fyrme establyshment of the government; and as these men, all but burgrave, are sent not only for to seke relyfe, but chyfely to dyscover and understand hir majesti's very full dysposytion in this cause, so ys hir majesty to consider with herself what she wyll doe, that she may use them accordinglye.",m
2903,"Of those ij, mening and valk, meninge ys the abler man every way, and i think the better affected to hir majesty.",m
2904,"I dyd gyve him a cheyn, one of those you sent; he was no lytle proud man to think himselfe remembered of hir majesty.",m
2905,"For my owne parte, my credytt has byn craked ever synse hir majesty sent man thomas henege hether, as all men can tell you all, for indede the government they semed they had geven from themselv's to me stok in ther stomack's always, and but to have pleased hir majesty and satysfy the people, they wold never have donn yt.",m
2906,"On the other syde, the towens and people they never could, nor yet can, well consent to be overuled by their bakers, and bruers, and hired advocattes, having byn always governed under some prince, and now spetyally under hir majesty, for so dyd they, and doe the most parte, yet take it, that they be only under hir majesti's goverment and not the states, for, lett me never be trusted, yf, as sone as they will finde that they be not under her majesty's government, that they doe not refuse to obey the states, or to lyve under the name of ther goverment iij month's.",m
2907,"I know they hate them, and therin paul buys sought to wynn his credytt wyth the people ageyn, to make that shew he dyd, as indede he dyd above all other men here, to advanse hir majesti's goverment, by joyning with them to press yt so uppon me, as, unless that werr donn, they wold have no goverment by the stat's by no mean's.",m
2908,"Of this you hard inough, but i never found yt was well conceavyd yet, for your owne authoryty from inglond was such as gave them all good cause both to thinke hir majesty ment yt, and for them to offer yt, and confyrm yt uppon me.",m
2909,"Touching all these matters for these countres, i wyll referr you to mr. Burgrave.",m
2910,"I pray you make much of him, for he ys very religious indede, and so ar not many here.",m
2911,"Mening ys therin better than his fellow, and one you may deal withal frely, but yet you know he ys one of the stat's.",m
2912,"Valk is subtyll, and seke wholy to content the stat's ever synse my authorytye cam in questyon, for, before they hard of hir majesti's myslyke, they all of the councell werr sworn to me as governour.",m
2913,"After mr. Henege cam, they all secretly sought to the states, and tooke new patent's from them, saving ij, who plainly answered that they wer sworn to me as governour over all the provinces, and they wold no other patent's from any boddy.",m
2914,"The stat's have challenged those of utryckt, also, for that they have contynewed themselv's only obedyent to my authoryty, refusing any other comandment of ther states-generall; and herein did paul buys deal most badly with me, and with hir majesty also, that knowing hir good pleasure, after did always seke to make wrangling and debat's among us, yet did i never any thing but by his advice, and used him above all other councellors here.",m
2915,"I hear yt ys reportyd that he gave upp all offyc's in the princ's tyme for standing against monsieur and for hir majesty, and how trew that ys all men here know, and that he had a course than in hand, nether for monsieur nor hir majesty, but only for these countreys for the prinse himselfe; and whan he was dedd wold have had him buryed as erll of holland and zeland, and wrought all the stat's of the countrey in the heyt of yt to chuse his sonne governor, which being delayed, he, being in ingland, was the chife cause to hasten the confyrmacion of yt, and was donn indede, as you know, and none semed to myslyke yt so much as he, and yet he chifely procured yt.",m
2916,"His reason than was, for that he feared hir majesty wold not goe forward, and than he ment to prevent all other practyc's for the french; and yet whan i cam he only sought to make a pyke between count morris and me, and byd me take hede of him for he was only french.",m
2917,"Indede i here that after the prinse was ded, and  saw that his practyce that way was inded, he stoode for hir majesty before the french, for he knew the french was advertysed that he was the dealer against monsieur; but otherwyse yf he ether lost offyce or credytt for hir majesti's sake, lett my credytt be lost with you and all the frend's i have; so well have i inquyred of his doing's.",m
2918,But lett him and all these pass.,m
2919,"I pray you lett spedy care be taken what course hir majesty wyll take, as a thing most nedefull, and tyme ys most precyous.",m
2920,"And, though i have not byn wylling to make the worst of thinges, yet wyll i not be thought so yll an husband as some i hear wold make me, that i have received of these stat's not only all the ordynarye allowed beforehand, but also the extraordinarye to the somme of 400,000=li= sterling.",m
2921,"First, i wyll say, i never received the therd parte of the ordinary, and for the extraordinary, hit was 400,000 florins, and not poundes, which shuld have byn payd in march, aprill, may, and june; but the first of that we never received before august, and of that ther ys one 100,000 dewe yet; and of the 300,000 disbursed, yf ther has byn paid in money 70,000 to the soldyers hit has byn a myllion.",m
2922,"But they doe make reckoning of all ther vyttell, of ther armour, and wepon, and of their lyke provissions, for which i dare asure yt to you all, they have v, vj, viij month day for payment, and yet these provissions be of some their owen.",m
2923,"Than judge you, what dealing this ys, or whether these somm's may be said ""delivered"" to us in money, or no. For the same tyme they take with the marchant for vyttell and munytion, the same might they use for the benyfyt of the soldyer; for, before vj or v months come out, they myght make other money reddy for to pay the marchant, and relyve the soldyer in the meane tyme with that which they turn to their own benyfytt; but they deny all this, albeyt yt be playnly knowen.",m
2924,"So, praing to the lord to dyrect all your councell's to his glory and hir majesti's saftye, i comytt you to his protectyon.",m
2925,"In have, this 2. of october.",m
2926,"Your assured frend,    r.",m
2927,"Leycester.  to my honourable good frend man francis walsingham, knight, her majesti's principal secretary.",m
2928,"my very good lord, this gentleman, mr. Gorge, comme thyther with such have, as i have no lesur to wryte as otherwize i wold, but breffly.",m
2929,"I have, accordyng to your lordships late lettres, moved hir majesty for your lordships licenss to retorn, wherunto hir majesty is of hirself very willyng, as well for the desyre she has to se your lordship, as for the dout she also has that thys wyntar season yow might fal into some sycknes; but yet herwith she also is very carefull how those countre's may be governed without harm to the public cause, and how hir own army, consistyng of hir people, might also be ruled and directed; of both which, though hir majesty has had some kind of speches, yet she mynde not to mak any resolution but by your lordships advize.",m
2930,"Yet, for the government of hir army, i perceave she will laye the chardg uppon my lord gray, who will shun it i am sure as much as he may, and yet i have perswaded hir majesty to incorradg hym with the remission of an irish det that, in conscience, he ought not to paye.",m
2931,"I told mr. Gorge by speche, that seing ther is treasur sent over, wherof your lordship had no knolledg at your late wrytyng, i wold wish your lordship to se the same, or the gretar part, issued out wher is most nede, but specially to mak full pay's to some day certen.",m
2932,"For the government ther in your lordships absense we here cannot gyve any advise, but, consideryng your lordships great experiense there, whatsoever your lordship will declare to be mete i will assent therto, and by my advize to hir majesty furder it as reason is.",m
2933,"Some spek of namyng the count morrice to be governor alon in your absence, and as to have the rule under your lordship; some wish that the count moryce shuld be joyned with the lord graye.",m
2934,"The queen's majesty wold that it war in the stat's direction ageyn as it was befor they committed it to your lordship, with the direction of the lord graye as lieutenant of hir army; but suerly i feare greatly the success hereof, for the general evill opinion conceaved, both by the people and the men of warr, ageynst the particular persons representyng the states, except ther might be a new election by the several provync's of new and more upright persons to represent the stat's.",m
2935,"My lord, though presently it seme your lordship to be greved with the sondry mislykyng's of hir majesty signefyed by her privat lettres, for sondry thyng's wherof your lordship has sufficient matter to discharg yourself, yet i dowt not but uppon your lordships retorn to hir presence, she will be fully satisfyed by your lordships own good answers, for so i myself do conceave the issew will so be proved.",m
2936,"And so, by reason of mr. Gorg's hasty departure, i am compelled to ind.",m
2937,"From westminster, 4.",m
2938,"November, 1586.",m
2939,"Yesterday all we commissioners  our sentense against the scottish quene, with on full assent, but i feare more slackness in hir majesty than will stand ether with hir suerty or with ours.",m
2940,God direct hir hart to follow faythfull counsell.,m
2941,"Your lordships most assured to my power,    w.",m
2942,Burghley.,m
2943,"i humbly beseeche your lordship, that this bearer may receyve your honorable assystaunse in the recovarye of sooch imprest's as have been made by his late master onto sooche as served under him.",m
2944,Man philip hathe lefte a great nombur of poore credytors; what order he hathe taken by his wyll for ther satysfactyon i knowe not.,m
2945,"Yt is trewe, that, immedyatly after the deathe of his father, he sent me a letter of attorney for the sale of sooche portyon of lande as myght content his credytors, wherin there was nothing don, before his deathe.",m
2946,"I have payde, and must paye, for him above 6,000=li=, which i doe assure your lordship has browght me into a most harde and desperat state, which i waighe nothing in respeact of the losse of the gentleman, whoe was my chefe worldly compforte.",m
2947,"Sorry i am to take any occasyon to revyve the memorye of him to the renewing of your lordships grefe, for the which i praye pardon, and so i most humbly take my leave.",m
2948,"At barne ealmes, the v=th= of november, 1586.",m
2949,"Your lordships to commaund,    fra.",m
2950,Walsyngham.,m
2951,"my verry good lord, even as i had gyven this bearer his dyspatche i receaved a letter from mr. Davyson, by the which he dyd sygnefye onto me that her majesti's pleasure was, that i shoold wryte onto your lordship to stay the commyng of the commyssioners, for that she is in no sort wyllyng to be pressed in a matter that she is alreadye resolved not to procead in.",m
2952,"Th's be the verry word's of his letter, which i refer to your lordships consideratyon.",m
2953,Monsieur burgrave is alreadye come to london.,m
2954,"I have appoynted on mondaye next to speake with him, and wyll, for your lordships sake and the good commendatyon you gave him, use him with all the favor i may.",m
2955,"I have caused man philip sydneys wyll to be consydered of by certeyn learned in the lawes, and i fynd the same imperfect towching the sale of his land for the satysfyeng of his poore credytors, which i doe assure your lordship do greatly afflyct me,  a gentleman that has lyved so unspotted  reputatyon, and had so great care to see all men satysfyed, shoold be so  to the owtcrye of his creditors.",m
2956,His good's wyll not suffyce to awnsware a third parte of his debt's alreadye knowen.,m
2957,This hard estate of this noble gentleman makethe me staye to take order for his buryal untyll your lordships returne.,m
2958,"I doe not see howe the same can be performed with that solempnytye that apperteynethe withowt the utter undoing of his credytors, which is to be weyed  conscyense.",m
2959,"Sorrye i am to troble your lordship with these unplesaunt matters, but that a necessitye movethe me therto.",m
2960,"And so hoping to see your lordship here, i most humbly take my leave.",m
2961,"At barne elm's the vj. of november, 1586.",m
2962,"Your lordships to commaund,    fra.",m
2963,Walsingham.  for her majesty's special affair's.,m
2964,"To the right honoorable my very good lord the erle of leicester, lord lieutenaunt-general of hir majesty's forc's in the lowe countries, &c.",m
2965,W. Davison.,m
2966,"i am hartyly sorry for any further vysitacion to com to that howse, for i must every way be partaker therof.",m
2967,But you and i must yeld to his gracious chastysment who know best what ys fytt for us both.,m
2968,"I conf's that i se what you fynde, and i fele lyke you have founde.",m
2969,"The lord that inflycte us here with sharpn's can, and i know wyll, recompense us elleswhere x, xx and xxx fold, to our everlasting joye and comfort.",m
2970,"Wherfore i pray for you, as for myself, that the same lord wyll contynew us in strength, and strengthen us in pacyense to receyve his blessyd wyll, as becomyth us.",m
2971,"The lettre you sent me i wyll suspend my opinion, albeytt i fear he ys not the man we thought him.",m
2972,"God grant us his peace, and the rest of our yer's to pass in his fear, and so to his blessyd protectyon i leave you all.",m
2973,"Have this 22 of december, 1586.",m
2974,"Yours assured,    r.",m
2975,Leycester.  to my honorable frend mr. secretarye walsingham.,m
2976,"i cannott be quyett tyll i may know how my daughter do amend, wyshing hir even as to my none child, which, god wylling, i will always esteme hir to be.",m
2977,"I wold gladly make a start to you all, but to morrow king antonio com's hether, but my hart ys ther with you, and my prayers will goe to god for you and for yours.",m
2978,"Ther ys a lettre com from the scottish queen that has wroght tears, but i trust will doe no further harm, albeyt the delay ys so daungerous.",m
2979,"Of all thing's that ys to be advertysed i know mr. secretary davyson do wryte to you all, therefore i wyll leave to trowble you, and commytt you to the lord.",m
2980,From grenwich xxiij of december.,m
2981,"Your assured frend,    r.",m
2982,Leycester.,m
2983,"Bycause i dowbt of your spedy repayr hether i pray you send my ij leases, mr. Secretary, to se what may be donn.  to the right honorable mr. secretary walsingham.",m
2984,"i mynde not deale, my deare brother, as wize men commenly counsel, to try my trust with trifl's first, and therby iuge of like event, but haue agried to make my first attempt of your many promis's and desir's that you might knowe the way to please me most; and therfor do require, that a question may, upon allegeance, be demanded by yourselfe of the mastar gray, whether he know not the prize of my bloude, wiche shuld be spild by bloudy hande of a murtherar, wiche some of your nere-a-kin did graunt.",f
2985,"A sore question, you may suppose, but no other act than suche as i am assured he knowes, and therfor i hope he wyl not dare deny you a truthe; but yet i beseche you let it not seme to come from me, to whom i made no semblanse but ignoranse.",f
2986,Let him suppose that you receaued it elzwhere.,f
2987,"O most wicked treachere, to gusche the dropp's of innocent bloud, yea, of suche as perhaps has saued often thers! as this touche me nearest, so use it with best commodity, and let the answer be speded after a thre or foure day's after his retourne.",f
2988,"It may please you, aske it no sonar, lest he suspect it come of me, from whom, according to trust, let it be kept.",f
2989,"Your most assured sistar and cousin,    .",f
2990,"God euer kep you from al daungerous attempts, and graunt you many yer's to liue and raigne.",f
2991,"(\au roy d'escose, mon bon frere et cousin.\)",f
2992,"i haue, right deare brother, receaued your frendly and affectionat letters, in wiche i perceaue the mastar gray's halfe, limping answer, wiche is lame in th's respectz: the one, for that i se not that he told you who bade him talke with morgan of the price of my bloude, wiche he knowes, i am assured, right wel; nor yet hathe named the man that shuld be the murtherar of my life.",f
2993,"You wel perceaue that nothing may nearelar touche me than this cause, and therfor, accordinge to the bond of nature and the prom's of strikte frindeship, let me coniure you that this vilanye may be confest.",f
2994,I hope i may stand you in bettar sted than that you wyl shew you uncareful of suche a treason.,f
2995,"And because i desiar that no cause be giuen of your part to make me, or the lokers on, to slandar your good wyl, i heare, out of my realme of ireland, that skotz assemble in great troup's.",f
2996,"Giue you charge immediatly, i most hartely require you, that, upon paine of treason, the desist from suche action, and so shal you bind me to recompense suche honorable traictment.",f
2997,"And wher i perceaue that you expected the erl's departur from the bordars, it is true, vpon my honor, that i dispached furthewith a charge onto them, wiche the answered, after a wek's leasur, that the wer so indetted to my subiectz that the could not, but i am sure by this time the ar departed.",f
2998,"As for ther not banisment out of my realme, i haue, by my secretary, signified to the mastar gray what reasons necessary to be considered mou's me therunto, specially sins the offar to submit themselu's to suffar as if the wer my subiectz offending me, and to take condigne pain if, while the bid in my gouernement, the disobay ther alegianse to you all.",f
2999,"And this, with the rest, i trust wyl content you, as one that i wyll take as great care of, for your honor and your surty, as whosoever may giue you more golden prom's with leaden performanse.",f
3000,I beseche you let your answer be retournid me with your best spede and most commoditye.,f
3001,"Thus, not willing to molest you, i, with my humblest deuotion, intreat the almighty to protect you from al inconveniens, and grant you many happy year's.",f
3002,"Your most assured sistar and cousin,    elizabe r.",f
3003,(\a monsieur mon bon frere et cousin le roy d'escosse.\),f
3004,"right deare brother, your gladsome acceptanse of my offred amitie, togither with the desiar you seem to have ingraven in your mynde to make merit's correspondant, mak's me in ful opinion that some innemis to our good wyl shal loose muche travel, with making frustrat thar baiting stratagemes, whiche i knowe to be many and by sondry mean's to be explored.",f
3005,"I cannot halt with you so muche as to denye that i haue seen suche euident shew's of your contrarious dealings, that if i mad not my rekening the bettar of the moneths, i might condemne you as unworthy of suche as i mynd to shewe myselfe toward you, and therfor i am wel pleased to take any coulor to defend your honor, and hope that you wyl remember, that who seake two string's to one bowe, the may shute strong, but neuer strait; and if you suppose that princ's caus's be vailed so couvertly that no intelligense may bewraye them, deceave not yourselfe; we old fox's can find shift's to saue ourselv's by others malice, and come by knowledge of greattest secreat, spetiallye if it touche our freholde.",f
3006,"It becometh, therfor, all our rencq to deale sincerely, lest, if we use it not, whan we do it, we be hardly beleaved.",f
3007,"I write not this, my deare brother, for dout but for remembranc's.",f
3008,"My ambassador writ's so muche of your honorable traitment of him and of alexandar, that i belive the be convertid scot's.",f
3009,"You oblige me for them, for wiche i rendar you a milion of most intire thankes, as she that meane to desarue many a good thoght in your brest throwe good desart.",f
3010,"And for that your request is so honorable, retaining so muche reason, i wer out of  senc's if i shuld not suspend of any hiresay til the answer of your owne action, wiche the actor ought best to knowe, and so assure yourselfe i meane and vowe to do; with this request, that you wyl affourd me the reciproque.",f
3011,"And thus, with my many petitions to the almighty for your long life and preservation, i inde th's skribled lin's.",f
3012,"Your verey assured lovinge sistar and cousin,    elizabe r.",f
3013,(\a mon bon frere le roy d'escose.\),f
3014,"right deare brother, i find to true the frenche adage, (\qu'un mal ne vint jamais seul\) ; for as the horrible and soudain murdar of my most faithful subiect and most vaillant baron was onto me a heartsore and grivous tidinges, so was it tenfold redoubled with knowelege that a skot shuld dare violate his hand's on any of our noble bloude, in a peacable concord, whan our frendship shuld haue sent out his hotest beam's to the kindeling of the intier affection of bothe realmes; that any of that nation shuld ons dare haue had a thoght to maculate suche a contract of amity.",f
3015,"I perceive, by my ambassador, that your grief is litel l's than suche a chance deserveth, and do perceaue that you haue not spared your wel-fauored, to cause him answer suche a suspicion.",f
3016,"I thinke myselfe, therfor, greatly obliged onto your care for my satisfaction, and therin i thanke you for being so considerast of your owne honor, wiche, i assure you, lie a-bleding in the bowels of many an inglas man, until ful rayson be made for suche a treacherye.",f
3017,"God send us bettar luck after our league be finished than this bloudy beginninge may geue calend's of, elz many a red side wil folowe suche demerit's.",f
3018,But i hope you wyl spare no man that may be douted of suche a meaning.,f
3019,"I meane, not only of the murdar but of the breaking out upon our borderars, wiche commonly ar the beginnings of our quarelz.",f
3020,"I dout nothinge of your curious care in this behalfe, and for that the warden of that marche hathe bine the open and commen fosterar and compagnion of the traitor westmarland and his complic's in franse and scotland, i hope you wil agry to send him to my handes, wher he shal neuer receaue iniury nor ivel measure.",f
3021,"And thus, desiring  to credit my ambassador in certain particularit's that he shal impart onto you as to myselfe, i recommend you to gods safe tuition, who graunt you many gladsome yer's.",f
3022,"Your most affectionat sistar and cousin,    elizabe r.",f
3023,"(\a mon bon frere et cousin, le roy d'escose.\)",f
3024,"right deare brother, the strangen's of harde accidens that ar arrived here, of unloked for, or unsuspected, attemps in skotland, euen by some suche as lately issued out of our lande, constraine me, as wel for the care we have of your person as of the discharge of our owne honor and consciense, to send you immediatly this gentleman, one that appartaine to us in bloud, bothe to offer you all assistanse of help as al good indeuor of counceil, and to make hit plaine that we delt plainly.",f
3025,"Th's lord's makeng great outcry's that i wold not or coulde help them to be restored; i, by ther great importunitie, yelded, that if i might be fried of my assuranse given onto you for ther safe kiping, i wold consent to ther departure, and so, after your answer, as my thoght most honorable, that the might take ther way to germany with your gracious graunt of some livelode, after a week's space i gaue them my pasport and so dismissed them, without, i swere onto you, ons the sight of any one of them.",f
3026,"Now, whan i way how suddenly, beyond my expectation, this suddan stur ariseth, and fering lest some ivel and wicked person might surmize that this was not without my forsight, i beseche you trust my actions accordinge the measure of my formar dealings for your safety, and ansuerable to the rule of reason, and you shal find, that few princ's wyl agrye to constraint of ther equalz, muche l's with compulsion of ther subiects.",f
3027,"Juge of me, therfor, as of a kinge that cari's no abiect nature, and thinke this of me, that, rather than your daungier, i wyl ventur myne; and albeit i must confesse that it is daungerous for a prinse to irritast to muche, through iuel aduise, the generality of great subiectz, so might you or now haue folowed my aduise, that wold neuer betray you with unsound counceil; and now to conclude, making have, i pray you be plain with this bearar, that i may knowe what you wold that i should do, without excuse hireafter, that constrained you did hit, for i dare assure you of his secresye, and therof be you bold.",f
3028,"For the lord russelz dethe, and other thinges, i referre me to this gentilman, who i dare promis is of no faction beside my wyl.",f
3029,God blesse you in al safety as i wysche myself.,f
3030,"Your tru assured cousin and sistar,    elizabe r.",f
3031,"Feare not, for your life must be thers, or els the shal smart wel, euery mothers son of them.",f
3032,(\a mon trescher frere le roy d'escose.\),f
3033,"right deare brother, i am not a litel satisfaict of many a carefull thoght that my mynde tossed up and downe, with dout's what care might do to a kings brest, invirunned of a seubdain with so vnlooked for an occurrence; my thankes, therfor, may scase be contained in this paper for your most acceptable messanger, whom it pleased you to commaund  my satisfaction of your good estat, togither with your good liking of the lord's and ther action, whom i beseche god no longar preserue in life, than the be ready for your preservation to spend all thers; so far wer euer my intentz from any trechery towarde you.",f
3034,"And wheras your desiar seame great that the league in hand myght come to inde, i am addressing a gentilman vnto you for the same purpose, and wyl delay no time for so good a intent, trusting than, that no whispering treason shal haue credit in your eare to retarde or cut of so nideful an action.",f
3035,"Suppose suche, i pray you, to resemble a golden houke that often deceau's the vnwary fische, and mak's him receaue his worst in lieu of bettar hope.",f
3036,"Amidz al th's kind dealings of yours, let me not forget how litel care the worlde shal thinke you prize me at, if in middest of greatest frindship, my los of honor be no whit repaired for the shamful murther of the baron russell.",f
3037,"Pondar it depely, i beseche you, for hit strike nere me, so publik an iniurye to haue no redres, without we shewe the thoght, wiche god alone reseru's his part.",f
3038,"The like answer was neuer yet giuen, and  hope for bettar paiment.",f
3039,"For your churche matters, i do bothe admire and reioize to see your wize paraphrase, wiche far excede ther texte.",f
3040,"Sinse god hathe made kinges, let them not unmake ther authorite, and let brok's and smal rivers acknowledge ther springes, and flowe no furdar than ther bank's.",f
3041,I praize god that you uphold euer a regal rule.,f
3042,"For all other matters wiche this gentilman hathe told me, i wil hope stil that your faithful profession of constanty in my behalfe shal far surmount the devellishe practices and suttel iniquity of those wiche, undar pretense of your aduancement, wil skanten your best fortiune.",f
3043,"And albeit i am aduertised, even from amonge themselves, that your assuranse to them do shewe, that al my faire offers from you all be (\ad ephesios\) and ridiculus, meaning wholy to folow them and temporize with me, yet i mynd to (\peccare in meliorem\) if i must nid's be begiled, and mynd not to trust them til i see you all faile me, and than (\deceptis ad decipientem digne vertitur\).",f
3044,"Til than, i wyl trust your worde, and dare assure you shal neuer, on my behalfe, haue cause to repent your woues, meaning you no l's good than i pray god euer to afourde me, prayinge him longe to conserve you.",f
3045,"And to inde this lettar, let me not forget to recommend this gentlemans good behavor in this his charge, hauing used it to your honor and his great praize.",f
3046,"Thus i finische to troble you, but do rest,    your most assuredzt louing sistar and cousin,    elizabe r.  to my deerest brother and cousin the king of scotts.",f
3047,"right deare brother, determining with myselfe to sende you some one of whose affection i had profe towarde your estat and parson, have resolved of this gentilman, who in your childesche yer's sought all men's of your preservation, and was the instrument to have you served by them that folowed no other rular than your raigne, and for that cause suffred hard assaultes, yea to the present peril of life, wiche was soght sondry wayes, and ons by bullet of pistol, as he had to shew.",f
3048,"Suppose you that suche a one, so used, wold be hasty to go on this viage, wer it not my spetial charge, wiche only i do for the longe experiense that he hathe had of that country, and so the bettar able to serve us bothe, for i dare swere he hathe no other scop than to kip us frendes, and increase that bond.",f
3049,"And if he find any opposite against so good a worke, he wyl obviat it if he may, and wyl serve you in any thing that may advanse your honor and quiat, according to his commission; praying you to have regard onto him and his honorable traictment, that i may haue no cause to reuenge his wronge; not douting but if you knew his nature and honesty, as i do, you wold not estime him menely.",f
3050,I assure you he is of muche valeur bothe for the mind and discretion; in whom ther was never found trechery.,f
3051,"Thus i ind, with my prayers to god for your long continuanse.",f
3052,"Your assured sistar and cousin,    elizabe r.",f
3053,(\a mon bon frere le roy d'escose.\),f
3054,"the expertist seamen, my deare brother, mak's vant of ther best shipp's whan the pas the highest bellow's without yelding, and broke nimlest the roughest storm's.",f
3055,"The like profe, i suppose, may best be made, and surest boste, of frindes, whan greatest persuasions and mightiest innemis oppose themselu's for parti's.",f
3056,"If than a constant irremouable good wyll appere, thar is best trial made.",f
3057,"And for that i knowe ther is no worse orator for truthe than malice, nor shwredar invahar than invye, and that i am sure you haue wanted nether, to assaile your mynde to win it from our frindeship; if not auailing all th's minars, you kip the hold of your promised inward affection, as randol at lengthe haue told me and your owne lettars assure me, i dare thus boldly affirme, that you will haue the bettar part in this bargain.",f
3058,"For when you way in equal balance, with no palsey hande, the very ground of ther desir's that wold withdrawe you, it is but roote of mischif to peril your selfe, with hope to harme her who euer hathe preserued you; and sins you may be sure that skotland, nor yourself, be so potent, as for your greatn's the seake you, nor neuer did, but to iniure a thirde; and if you rede the histories, ther is no great cause of bost for many conquests, thogh your contry sarued ther malice.",f
3059,This you see the beginning why euer skotland hathe bine sought.,f
3060,"Now, to come to my ground worke, only natural affection (\ab incunabulis\) sturrid me to saue you from the murderars of your father, and the peril that ther complic's might brede you.",f
3061,"Thus, as in no counterfait miroir, you may behold without maske the fac's of bothe beginnars.",f
3062,"It is for you to juge what ar like to be the best euent of bothe, and therafter i pray god you may use your best choize to your surest good, no semblant false to begile.",f
3063,"And as i reioyse to haue had, iven in this hammering worlde, suche presant profe of your sincerite, so shal you be sure to imploye it upon no gileful person, nor suche as wil not take as muche regard of your good as of her owne.",f
3064,"Tochinge an ""instrument,"" as your secretarye terme it, that you desiar to haue me signe, i assure you, thogh i can play of some, and haue bine broght up to know musike, yet this disscord wold be so grose as wer not fit for so wel-tuned musicke.",f
3065,"Must so great dout be made of fre good wyl, and gift be so mistrusted, that our signe emanuel must assure? no, my deere brother.",f
3066,Teache your new rawe counselars bettar manner than to aduis you such a paringe of ample meninge.,f
3067,"Who shuld doute performanse of king's offer? what dishonor may that be demed? folowe next your owne nature, for this neuer came out of your shopp.",f
3068,"But, for your ful satisfaction, and to plucke from the wicked the weapon the wold use to brede your doubt of meanings, th's the be.",f
3069,"First, i wil, as longe as you with iuel desart alter not your course, take care for your safety, help your nide, and shun al act's that may damnify you in any sort, ether in present or future time; and for the portion of relife, i minde neuer to lessen, thogh, as i see cause, i wil rather augment.",f
3070,"And this i hope may stand you in as muche assuranse as my name in parchement, and no l's for bothe our honors.",f
3071,"I can not omit, also, to request you, of all amity betwine us, to haue good regard of the longe-waiting expectation that all our subject's lok's after, that some persons be deliuered in to my hand's for some repaire of my honor thogh no redr's for his dethe, according as my ambassador randol shal signifie, and that ther be no more delais, wiche haue bine ouer many already.",f
3072,And thus i ind my trobling you.,f
3073,"Comittinge you to the tuition of the living god, who graunt you many yer's of prosperous raigne.",f
3074,"Your most assured louinge sistar and cousin,    elizabe r.",f
3075,"i muse muche, right deare brother, how possibly my wel-ment lettar, prociding from so fautel's a hart, could be ether misliked or misconstred; and first, for my promis made of reciproke usage in all amicable maner, i trust i nether haue, nor neuer will, make fraction of in the lest scruple; and as for doute of your perfourmanse of your vowe made me, i assure you, if i did not trust your wordes, i shuld estime but at smale valew your writings, and if you please to reade againe my last lettar, you will perceaue how muche i prize your tried constancy for all the many assault's that, i am sure, your ear's haue bin assailled with, and therfor i am far from dout, whan suche profe is made, and you might worthely forthinke you to haue bestowed so muche faithful dealinge upon one that ether had smal iugement or muche ingratitude, and therof i may clerely purge me from suche crime, for i haue more iust cause to acknowelege thankefulnis manifold, than, in any part, to ouerrun my owne the mind to leue it behind me.",f
3076,"And for the some that you suppose my many affair's made me forget, togither with the maner of the instrument, or lettar, (\quocunque nomine datur\).",f
3077,"For the first, i assure you i never gaue commission for more.",f
3078,"Some other might mistake, as raudol wil tel you.",f
3079,"And for the lettar, some word's and fourme was suche as fitted not our two frindeships, as randol also can shewe you, but i haue sent you a lettar that i am sure contain's all you desired in spetial word's.",f
3080,"I trust it shal content you; although i must say for myselfe this muche, that the pithe and effect of all you receiued afore; and beseche you thinke, that i finde it my greatest fault that i remember but to well, yea, many tim's more than i wolde, but never aught that may be for your behoffe, ether in honor or contentation, shal euer slip out of my mind, but wil take so good regarde onto it as that it euer shal nerely touche myselfe; as know god, who euer preserue you from deceitful counseil, and graunt you true knowlege of your assured, with longe and many yer's to raigne.",f
3081,"Your most affectionate and assured louing sistar and cousin,    elizabe r.",f
3082,(\a mon bon frere et cousin le roy d'escosse.\),f
